,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,9.32%,9.79%,10.44%,10.56%,10.39%,10.57%,9.01%,8.87%,7.89%,7.23%,7.11%,6.87%
DIIs +,4.73%,3.94%,3.79%,3.61%,3.67%,4.47%,6.59%,6.50%,8.23%,10.00%,10.17%,10.45%
Public +,10.95%,11.27%,10.77%,10.83%,10.95%,9.96%,9.40%,9.62%,8.89%,7.77%,7.70%,7.67%
No. of Shareholders,"1,23,055","1,16,278","1,16,143","1,19,971","1,19,044","99,895","95,362","1,00,803","1,01,517","1,10,021","1,14,865","1,03,912"
