,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,95,82,106,134,202,356,324,432,521,582
Cash from Investing Activity +,-41,-100,-64,-110,-125,-354,-412,-416,-753,"-1,116"
Cash from Financing Activity +,-65,24,-39,-27,-44,10,61,20,217,543
Net Cash Flow,-11,5,3,-3,32,12,-26,36,-15,9
