,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,82.50%,82.50%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,8.72%,10.12%,15.72%,16.34%,9.85%,7.22%,7.65%,7.79%,12.37%
DIIs +,4.81%,5.01%,5.98%,7.36%,13.51%,15.87%,15.55%,15.44%,10.89%
Public +,3.96%,2.37%,3.30%,1.30%,1.64%,1.91%,1.81%,1.76%,1.75%
No. of Shareholders,"47,205","39,021","38,581","33,948","49,300","72,839","78,124","84,155","85,528"
