,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,136,132,132,132,132,132,132,132
Reserves,"3,120","3,197","3,591","3,902","4,262","4,296","4,872","5,448"
Borrowings +,123,123,123,540,554,587,502,560
Other Liabilities +,"2,109","1,799","2,565","2,976","3,467","5,006","6,531","7,260"
Total Liabilities,"5,487","5,251","6,411","7,549","8,414","10,021","12,037","13,399"
Fixed Assets +,349,376,764,867,970,953,968,"3,048"
CWIP,121,342,799,"1,176","1,264","1,619","2,196",515
Investments,0,0,0,0,0,0,0,0
Other Assets +,"5,017","4,532","4,848","5,506","6,180","7,449","8,873","9,836"
Total Assets,"5,487","5,251","6,411","7,549","8,414","10,021","12,037","13,399"
