,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,80.93%,76.14%,63.69%,58.86%,51.53%,50.31%,50.37%,50.32%
FIIs +,8.92%,10.52%,21.07%,25.67%,26.31%,29.85%,30.03%,24.96%
DIIs +,2.41%,3.40%,6.08%,6.25%,7.81%,6.42%,7.93%,14.10%
Public +,7.69%,9.92%,9.13%,9.20%,14.32%,13.36%,11.64%,10.60%
Others +,0.04%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%
No. of Shareholders,"3,40,297","3,99,373","5,30,777","7,42,196","10,34,124","10,05,702","8,58,844","7,71,949"
