,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,55,55,55,55,55,51,51,51,51,51,51,51
Reserves,"2,096","2,178","2,257","2,463","8,247","7,874","8,007","14,188","19,625","19,521","29,915","31,040"
Borrowings +,0,0,0,0,0,0,0,0,0,240,0,0
Other Liabilities +,123,125,14,19,"1,564","1,554",122,647,"1,314","1,277","2,905","3,751"
Total Liabilities,"2,274","2,358","2,326","2,537","9,866","9,478","8,179","14,886","20,990","21,089","32,870","34,842"
Fixed Assets +,14,14,14,14,14,14,15,14,16,15,14,174
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,"2,212","2,302","2,259","2,480","9,816","9,432","8,128","14,836","20,893","21,009","32,485","34,626"
Other Assets +,48,43,53,44,37,33,37,36,82,65,371,41
Total Assets,"2,274","2,358","2,326","2,537","9,866","9,478","8,179","14,886","20,990","21,089","32,870","34,842"
