,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,46.77%,47.12%,47.12%,47.12%,47.12%,47.12%,47.12%
FIIs +,21.58%,19.83%,19.45%,17.55%,16.88%,15.62%,11.66%
DIIs +,13.64%,12.99%,12.50%,11.79%,11.39%,12.46%,14.21%
Government +,0.13%,0.14%,0.14%,0.15%,0.15%,0.17%,0.17%
Public +,17.86%,19.92%,20.77%,23.39%,24.46%,24.61%,26.83%
No. of Shareholders,"39,83,144","40,83,129","43,99,041","48,02,851","48,60,795","49,78,984","52,59,483"
