,Mar 2023,Mar 2024,Sep 2024
Equity Capital,160,160,160
Reserves,"2,318","3,070","3,363"
Borrowings +,84,60,42
Other Liabilities +,"2,526","2,801","3,235"
Total Liabilities,"5,089","6,091","6,800"
Fixed Assets +,351,343,314
CWIP,34,443,466
Investments,0,0,0
Other Assets +,"4,704","5,306","6,020"
Total Assets,"5,089","6,091","6,800"
