,Mar 2023,Mar 2024,Mar 2025
Promoters +,63.57%,57.83%,57.75%
FIIs +,8.16%,14.19%,11.17%
DIIs +,12.96%,18.36%,16.98%
Public +,15.31%,9.61%,14.10%
No. of Shareholders,"45,643","97,423","2,30,533"
