,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,51.00%,51.00%,51.00%,51.00%,51.00%
FIIs +,2.76%,3.04%,3.11%,3.20%,3.31%,3.49%,3.64%,6.47%,8.93%,9.48%,9.70%,10.72%
DIIs +,12.54%,12.50%,12.44%,12.35%,12.47%,12.93%,12.63%,33.68%,31.30%,31.49%,30.81%,28.11%
Public +,9.70%,9.45%,9.44%,9.43%,9.23%,8.58%,8.73%,8.84%,8.77%,8.01%,8.48%,10.17%
No. of Shareholders,"1,39,624","1,25,584","1,26,219","1,26,361","1,24,507","1,14,284","1,18,984","1,23,148","1,04,436","93,110","89,393","1,02,109"
