,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"8,118","8,788","5,249","8,136","12,418","13,996","7,355"
Expenses +,"7,525","7,528","4,666","6,998","10,860","12,474","6,696"
Operating Profit,593,"1,259",583,"1,138","1,557","1,522",659
OPM %,7%,14%,11%,14%,13%,11%,9%
Other Income +,63,63,73,103,123,246,525
Interest,225,469,530,389,536,941,567
Depreciation,282,885,963,997,"1,227","1,655","1,166"
Profit before tax,149,-33,-838,-145,-82,-829,-550
Tax %,-115%,402%,-12%,-18%,-28%,-11%,-17%
Net Profit +,321,-165,-736,-118,-59,-736,-456
EPS in Rs,3.72,-1.89,-7.93,-1.16,-0.38,-6.19,-3.08
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%
