,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,66.08%,66.08%,63.80%,63.80%,63.80%,63.80%,63.80%,63.80%,62.57%,62.57%,62.57%,62.57%
FIIs +,4.10%,4.99%,5.75%,4.85%,6.44%,4.82%,4.58%,4.51%,5.20%,4.88%,4.61%,4.63%
DIIs +,4.25%,3.90%,4.25%,5.87%,5.86%,7.68%,8.59%,8.76%,9.60%,9.56%,10.05%,10.74%
Public +,25.57%,25.04%,26.19%,25.47%,23.88%,23.69%,23.01%,22.91%,22.62%,22.98%,22.77%,22.05%
No. of Shareholders,"44,882","44,365","55,054","61,983","66,600","80,610","71,178","67,328","68,283","66,592","68,544","66,906"
