,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,79.62%,85.56%,85.56%,83.06%,97.07%,98.25%,98.25%,98.25%,93.85%
FIIs +,1.76%,1.11%,1.07%,0.76%,0.00%,0.00%,0.01%,0.02%,0.73%
DIIs +,10.78%,7.62%,7.58%,6.14%,1.05%,0.64%,0.67%,0.65%,4.32%
Public +,7.84%,5.71%,5.79%,10.04%,1.88%,1.11%,1.07%,1.09%,1.11%
No. of Shareholders,"1,32,524","1,19,890","1,15,570","1,19,428","1,26,560","1,30,728","1,46,968","1,84,679","1,99,821"
