,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,-500,"-1,108","-1,425","-1,865","-1,658"
Cash from Investing Activity +,-112,-124,-81,-173,-79
Cash from Financing Activity +,235,877,"2,139","1,825","1,316"
Net Cash Flow,-376,-354,633,-212,-422
