,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,-334,"-1,405","-4,476","-2,377","-2,082","-1,236",416,651,-121
Cash from Investing Activity +,-20,"-2,229","1,906","-1,997","1,934","-5,484","2,628",338,"-2,043"
Cash from Financing Activity +,459,"3,938","2,110","5,160",-222,"8,054","-1,112",-22,-53
Net Cash Flow,104,304,-460,786,-371,"1,334","1,931",967,"-2,217"
