,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,200,200,200,200,412,824,824,824,824,824,824,824
Reserves,"17,387","20,035","19,426","20,484","24,228","23,303","20,721","24,732","24,981","25,040","27,472","28,171"
Borrowings +,0,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities +,"36,791","42,726","44,780","49,473","51,094","56,426","55,707","66,914","70,691","72,359","79,829","80,776"
Total Liabilities,"54,379","62,961","64,407","70,157","75,734","80,553","77,252","92,470","96,496","98,223","108,125","109,771"
Fixed Assets +,223,302,350,399,560,561,558,547,563,564,471,538
CWIP,20,0,15,57,33,45,25,16,18,14,20,0
Investments,"35,711","45,365","44,972","51,907","56,024","59,801","52,029","67,025","71,319","74,360","82,069","80,942"
Other Assets +,"18,424","17,293","19,069","17,795","19,117","20,147","24,640","24,883","24,597","23,285","25,565","28,290"
Total Assets,"54,379","62,961","64,407","70,157","75,734","80,553","77,252","92,470","96,496","98,223","108,125","109,771"
