,Sep 2024,Dec 2024,Mar 2025
Promoters +,64.25%,64.25%,64.25%
FIIs +,3.08%,2.31%,2.95%
DIIs +,6.71%,7.95%,8.66%
Public +,25.07%,24.62%,23.42%
Others +,0.87%,0.87%,0.72%
No. of Shareholders,"4,15,978","3,74,313","3,88,511"
