,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,71.41%,71.41%,71.65%,71.65%,71.65%,71.66%,67.41%
FIIs +,10.05%,8.60%,4.99%,2.14%,2.04%,4.24%,5.23%
DIIs +,15.87%,18.76%,17.70%,20.99%,22.52%,19.61%,23.93%
Public +,2.67%,1.23%,5.66%,5.22%,3.79%,4.48%,3.41%
No. of Shareholders,"2,697","2,869","27,357","30,692","32,414","61,454","66,181"
