,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,38.02%,37.99%,37.32%,37.21%,37.10%,37.08%,37.08%,37.08%,37.08%,37.06%,35.01%,35.01%
FIIs +,26.46%,26.96%,26.83%,27.37%,27.67%,29.57%,30.95%,31.00%,30.75%,31.11%,29.75%,25.83%
DIIs +,19.49%,18.09%,19.09%,19.55%,19.55%,17.64%,16.05%,16.30%,16.56%,16.01%,20.72%,23.51%
Public +,16.03%,16.97%,16.74%,15.88%,15.68%,15.70%,15.91%,15.60%,15.60%,15.82%,14.52%,15.65%
No. of Shareholders,"93,152","98,128","97,661","98,021","1,08,749","1,25,713","1,30,692","1,29,055","1,55,514","1,65,905","1,66,067","1,97,844"
