,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,42,42,42,42,81,81,81
Reserves,"1,715","1,811","2,100","2,238","2,908","3,140","3,498"
Borrowings +,0,258,266,261,255,257,237
Other Liabilities +,512,462,"1,164","1,676","1,957","2,100","2,848"
Total Liabilities,"2,269","2,573","3,573","4,218","5,201","5,578","6,664"
Fixed Assets +,819,"1,119","1,090","1,068","1,095","1,151","1,130"
CWIP,25,0,0,0,3,0,0
Investments,39,36,497,528,30,150,616
Other Assets +,"1,386","1,417","1,986","2,622","4,074","4,277","4,918"
Total Assets,"2,269","2,573","3,573","4,218","5,201","5,578","6,664"
