,Sep 2024,Dec 2024,Mar 2025
Promoters +,78.08%,77.94%,77.92%
FIIs +,2.91%,3.05%,3.06%
DIIs +,3.96%,3.87%,3.44%
Public +,15.05%,15.15%,15.58%
No. of Shareholders,"1,52,914","1,43,449","1,39,671"
