,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"2,422","4,399","2,983","1,002","1,913"
Cash from Investing Activity +,106,-214,-67,-275,-328
Cash from Financing Activity +,"3,266","-1,637",-336,-430,"5,870"
Net Cash Flow,"5,794","2,548","2,580",297,"7,454"
