,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,129,109,94,111,112
Inventory Days,236,233,197,202,186
Days Payable,76,78,62,63,53
Cash Conversion Cycle,290,265,230,250,245
Working Capital Days,-8,65,155,169,281
ROCE %,,53%,48%,36%,24%
