,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,86.50%,86.50%,75.32%,74.90%
FIIs +,1.21%,1.61%,4.37%,5.32%
DIIs +,5.36%,4.84%,12.08%,10.92%
Government +,0.00%,0.00%,0.00%,0.02%
Public +,6.93%,7.05%,8.24%,8.84%
No. of Shareholders,"4,97,703","4,31,871","3,65,456","2,86,736"
