,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,101,101,101,101,101,101,101,101,110,110,110,110
Reserves,"7,485","7,779","9,114","11,055","14,210","16,230","18,164","20,500","24,641","27,075","31,367","36,242"
Borrowing,"82,036","96,532","110,931","126,337","150,913","170,657","191,428","207,925","223,757","244,913","252,618","270,726"
Other Liabilities +,"6,240","8,218","10,441","13,504","6,004","13,719","7,227","7,195","6,179","6,461","7,239","6,963"
Total Liabilities,"95,862","112,630","130,587","150,997","171,228","200,707","216,920","235,721","254,687","278,559","291,334","314,040"
Fixed Assets +,86,90,102,102,129,168,294,282,315,388,389,429
CWIP,0,0,0,5,3,2,3,6,4,1,0,0
Investments,194,241,280,537,"2,008","3,617","5,485","4,644","6,279","7,050","6,337","7,201"
Other Assets +,"95,581","112,298","130,204","150,352","169,088","196,920","211,138","230,789","248,088","271,120","284,607","306,411"
Total Assets,"95,862","112,630","130,587","150,997","171,228","200,707","216,920","235,721","254,687","278,559","291,334","314,040"
