,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,76.50%,76.50%,76.50%,74.88%,74.87%,74.87%,72.71%,72.70%
FIIs +,4.18%,4.18%,6.74%,9.87%,11.58%,12.37%,13.34%,12.92%
DIIs +,4.65%,4.56%,9.78%,11.14%,9.94%,9.91%,11.05%,11.47%
Public +,14.67%,14.76%,6.97%,4.10%,3.61%,2.86%,2.89%,2.89%
No. of Shareholders,"1,31,918","1,34,731","1,27,449","1,35,116","1,53,450","1,63,854","1,71,281","1,80,597"
