,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.98%
FIIs +,3.28%,3.45%,3.32%,3.88%,4.21%,4.27%,4.28%,4.72%,5.09%,5.56%,5.36%,5.30%
DIIs +,13.39%,13.26%,13.34%,12.82%,12.29%,11.90%,11.84%,11.61%,10.72%,10.28%,10.24%,10.10%
Public +,8.34%,8.28%,8.34%,8.31%,8.49%,8.82%,8.88%,8.68%,9.18%,9.16%,9.40%,9.61%
No. of Shareholders,"82,892","83,341","84,113","83,761","93,871","1,11,197","1,14,047","1,14,008","1,36,327","1,44,151","1,54,277","1,63,270"
