,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,89.18%,89.18%,73.18%,73.18%,73.18%,65.17%,65.17%
FIIs +,0.28%,0.20%,1.59%,2.23%,3.99%,4.58%,4.11%
DIIs +,4.95%,2.88%,0.34%,1.00%,1.87%,1.31%,1.57%
Government +,0.00%,0.00%,0.00%,0.00%,0.26%,0.26%,0.28%
Public +,5.58%,7.73%,24.89%,23.58%,20.71%,28.66%,28.88%
No. of Shareholders,"79,356","67,712","1,85,124","3,10,567","2,97,623","9,31,492","12,46,917"
