,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,194,187,227,231,262
Cash from Investing Activity +,-53,-262,-557,-256,-553
Cash from Financing Activity +,-133,94,324,26,311
Net Cash Flow,8,20,-6,2,20
