,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,39.08%,32.96%,32.79%,32.65%,32.64%,32.57%,32.52%,28.13%,28.10%
FIIs +,15.35%,16.33%,19.91%,21.80%,24.51%,23.96%,24.29%,25.00%,21.45%
DIIs +,4.11%,7.64%,8.90%,6.34%,3.31%,2.33%,3.65%,6.88%,29.88%
Public +,41.46%,43.06%,38.40%,39.21%,39.55%,41.14%,39.53%,39.98%,20.57%
No. of Shareholders,"1,01,015","97,960","90,522","1,01,116","1,05,902","1,19,187","1,08,269","1,33,177","1,82,070"
