,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,167,167,168,168,169,169,260,260
Reserves,"6,401","7,376","7,830","8,755","9,703","10,845","14,715","16,603"
Borrowing,"53,777","71,859","67,735","59,392","52,961","53,621","55,017","62,310"
Other Liabilities +,"2,670","4,466","3,197","3,077","2,897","2,238","2,414","3,348"
Total Liabilities,"63,014","83,869","78,930","71,392","65,730","66,874","72,405","82,520"
Fixed Assets +,76,103,251,181,150,146,207,251
CWIP,10,5,4,2,4,3,15,5
Investments,"2,413","4,561","2,076","2,045","3,483","3,196","4,346","3,381"
Other Assets +,"60,516","79,200","76,599","69,164","62,093","63,528","67,837","78,884"
Total Assets,"63,014","83,869","78,930","71,392","65,730","66,874","72,405","82,520"
