,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,390","2,763","3,049","3,046","3,222","3,601","3,993","4,410"
Expenses +,"2,964","3,387","3,575","3,536","3,767","4,156","4,719","5,374"
Operating Profit,-575,-624,-526,-490,-544,-554,-726,-964
OPM %,-24%,-23%,-17%,-16%,-17%,-15%,-18%,-22%
Other Income +,119,87,78,73,75,83,106,121
Interest,17,15,18,20,20,23,26,32
Depreciation,91,105,108,117,122,131,154,206
Profit before tax,-564,-657,-574,-555,-611,-626,-799,"-1,081"
Tax %,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,-564,-657,-574,-555,-611,-626,-799,"-1,081"
EPS in Rs,,,,,,-62.70,-3.57,-4.73
Raw PDF,,,,,,,,
