,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,8,8,17,17,17,17
Reserves,275,449,630,812,"1,141","1,773"
Borrowings +,0,76,65,52,"1,311",856
Other Liabilities +,151,53,75,107,411,407
Total Liabilities,434,586,788,988,"2,880","3,052"
Fixed Assets +,36,87,76,59,"1,833","1,798"
CWIP,0,0,0,0,3,5
Investments,1,14,16,32,195,114
Other Assets +,397,485,695,898,849,"1,135"
Total Assets,434,586,788,988,"2,880","3,052"
