,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,74.58%,60.20%,52.00%,51.50%,51.28%,51.28%,51.28%,51.28%,51.28%
FIIs +,4.00%,6.41%,11.92%,11.30%,8.38%,18.03%,15.95%,8.99%,15.81%
DIIs +,13.16%,21.21%,19.73%,14.20%,9.64%,8.76%,13.30%,18.82%,15.70%
Public +,8.27%,12.17%,16.35%,23.00%,30.70%,21.93%,19.48%,20.93%,17.21%
No. of Shareholders,"78,949","1,29,367","1,89,936","2,41,492","3,05,882","5,61,842","6,62,340","8,76,645","9,27,096"
