,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,83,71,89,88,100,99
Inventory Days,250,312,205,421,278,294
Days Payable,82,97,80,127,145,143
Cash Conversion Cycle,251,286,214,382,234,250
Working Capital Days,161,169,168,242,170,186
ROCE %,,28%,25%,15%,14%,12%
