,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"1,063","1,352","1,457","1,390","1,554","1,118","2,255","2,219","2,835","-1,235","2,995","1,711"
Cash from Investing Activity +,-862,"-1,457",-904,-533,-379,-364,-321,-535,-988,"-4,637","-1,205","-1,277"
Cash from Financing Activity +,-834,-837,-716,-430,-426,-380,-374,-327,-331,"-1,238",-443,"-1,002"
Net Cash Flow,-633,-942,-164,426,750,374,"1,559","1,357","1,517","-7,110","1,347",-568
