,Mar 2023,Mar 2024,Mar 2025
Promoters +,96.50%,96.50%,96.50%
FIIs +,0.08%,0.14%,0.10%
DIIs +,0.90%,0.85%,1.27%
Public +,2.52%,2.49%,2.13%
No. of Shareholders,"33,78,799","27,16,181","23,71,841"
