,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,45,51,46,54,57,62,72,58,55,72,47,72,67
Expenses +,36,39,35,37,45,44,52,42,40,51,37,51,52
Operating Profit,9,12,11,17,12,18,20,16,15,22,10,21,15
OPM %,20%,23%,24%,32%,21%,30%,28%,27%,28%,30%,21%,29%,23%
Other Income +,-0,2,1,2,4,0,3,3,4,4,4,8,10
Interest,4,4,4,5,4,3,4,4,4,3,3,3,1
Depreciation,4,4,4,4,4,4,4,4,4,4,4,4,5
Profit before tax,2,6,4,10,8,11,15,11,10,18,6,22,19
Tax %,25%,24%,29%,26%,22%,20%,24%,23%,22%,20%,23%,21%,24%
Net Profit +,1,5,3,8,6,9,11,8,8,15,5,17,14
EPS in Rs,0.89,3.53,2.20,5.83,4.55,6.87,8.43,6.08,5.95,10.19,3.39,11.56,9.50
Raw PDF,,,,,,,,,,,,,
