,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"1,267","1,675","1,557","2,810","3,416","1,703","4,739","4,832","5,309",735,"5,646","2,237"
Cash from Investing Activity +,-496,-456,-83,"-4,165",-738,-765,"-1,191","-1,317","-2,007","-14,481","-8,941","-7,531"
Cash from Financing Activity +,-672,-721,-900,-958,"-1,015",-719,-629,"-3,956",-516,"2,931","5,689","5,592"
Net Cash Flow,99,498,574,"-2,312","1,663",220,"2,919",-441,"2,786","-10,815","2,394",298
