,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,300,300,20,20,21,21,21,21,21,21,21
Reserves,2,766,"1,465","1,916","2,458","2,748","3,452","4,141","4,414","5,306","6,059"
Borrowings +,969,196,102,70,70,30,480,477,454,659,578
Other Liabilities +,507,681,644,696,802,"1,504","1,113","1,438","3,295","2,497","2,986"
Total Liabilities,"1,778","1,942","2,232","2,702","3,352","4,303","5,066","6,077","8,184","8,483","9,644"
Fixed Assets +,569,621,614,709,780,"1,174","1,282","1,283","1,303","1,613","2,245"
CWIP,0,14,2,0,0,9,12,10,6,13,28
Investments,0,56,195,221,575,642,"1,515","1,478","2,284","1,493","1,310"
Other Assets +,"1,208","1,252","1,421","1,772","1,997","2,479","2,257","3,307","4,590","5,365","6,061"
Total Assets,"1,778","1,942","2,232","2,702","3,352","4,303","5,066","6,077","8,184","8,483","9,644"
