,Dec 2024,Mar 2025,May 2025
FIIs +,6.19%,4.90%,4.51%
DIIs +,7.75%,9.33%,8.65%
Public +,86.07%,85.77%,78.66%
Others +,0.00%,0.00%,8.16%
No. of Shareholders,"4,23,592","5,04,712","5,07,036"
