,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,96,80,90,107
Inventory Days,32,26,27,31
Days Payable,79,60,60,58
Cash Conversion Cycle,49,47,57,80
Working Capital Days,56,46,62,85
ROCE %,,19%,21%,20%
