,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,70.46%,50.64%,23.77%,23.75%,23.74%
FIIs +,17.96%,14.59%,51.96%,57.33%,54.74%
DIIs +,4.88%,17.57%,19.36%,14.96%,17.59%
Public +,6.70%,17.20%,4.92%,3.97%,3.94%
No. of Shareholders,"45,491","1,20,079","1,04,656","1,27,009","1,51,633"
