,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,45.84%,45.84%,45.84%,45.83%,45.80%,45.80%,45.70%,45.70%,45.70%,45.68%,45.68%,45.68%
FIIs +,16.06%,15.63%,15.88%,15.54%,15.50%,14.40%,15.25%,15.92%,17.71%,17.55%,16.88%,16.14%
DIIs +,21.09%,21.91%,21.85%,22.46%,23.15%,24.25%,24.01%,23.37%,22.06%,22.43%,23.70%,24.50%
Public +,17.01%,16.63%,16.42%,16.17%,15.54%,15.54%,15.00%,14.99%,14.52%,14.32%,13.73%,13.68%
No. of Shareholders,"89,862","82,391","76,444","75,763","71,764","72,582","68,181","77,580","79,162","81,196","74,527","73,428"
