,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,30.98%,23.75%,19.92%,0.00%,0.00%
FIIs +,23.99%,28.99%,35.00%,53.78%,55.00%
DIIs +,24.03%,14.67%,12.87%,19.91%,16.70%
Public +,21.00%,32.59%,32.21%,26.32%,28.30%
No. of Shareholders,"1,61,790","4,86,749","4,65,834","4,13,343","4,59,662"
