,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,18,18,18,18,18,144,144,144,144
Reserves,924,"1,120","1,203","1,299","1,687","2,052","2,373","3,025","3,583"
Borrowings +,0,70,72,62,59,54,48,79,68
Other Liabilities +,258,342,206,193,221,184,223,254,320
Total Liabilities,"1,200","1,549","1,498","1,572","1,985","2,435","2,788","3,502","4,114"
Fixed Assets +,18,90,95,86,77,72,70,111,107
CWIP,0,0,2,1,1,3,2,2,1
Investments,901,"1,141","1,138","1,263","1,726","2,121","2,359","3,122","3,692"
Other Assets +,281,318,263,221,180,239,357,267,315
Total Assets,"1,200","1,549","1,498","1,572","1,985","2,435","2,788","3,502","4,114"
