,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,339,213,236,154,309,114,473,356,577
Cash from Investing Activity +,-195,-126,-134,-110,587,-859,-378,-225,-440
Cash from Financing Activity +,-64,-75,-57,-75,-86,-86,-87,-97,-112
Net Cash Flow,81,11,44,-30,810,-831,8,35,26
