,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,12,27,13,14,11,,4,25,47,-96
Cash from Investing Activity +,-11,-21,-9,-45,-72,,-20,-28,-116,-60
Cash from Financing Activity +,-1,-4,-6,31,61,,17,3,74,284
Net Cash Flow,-1,2,-2,-0,0,,1,-1,6,127
