,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2024,Mar 2025
Cash from Operating Activity +,"-1,282","-1,846","-5,018","-1,709","-3,206","-11,100","-14,460"
Cash from Investing Activity +,-282,-53,-37,-0,-2,-23,-518
Cash from Financing Activity +,"2,644","1,701","3,736","2,141","2,441","11,059","14,960"
Net Cash Flow,"1,081",-198,"-1,319",431,-767,-64,-17
