,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,995,"1,186","1,193","1,323","1,324"
Reserves,"4,610","5,511","5,580","6,588","6,801"
Borrowings +,"3,025","4,128","5,637","4,710","4,856"
Other Liabilities +,"2,047","1,781","1,893","2,461","2,696"
Total Liabilities,"10,677","12,605","14,303","15,083","15,678"
Fixed Assets +,"6,105","6,879","7,469","7,990","8,621"
CWIP,627,"1,172","1,419","1,116",489
Investments,123,267,639,385,291
Other Assets +,"3,822","4,286","4,777","5,592","6,277"
Total Assets,"10,677","12,605","14,303","15,083","15,678"
