,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,80.30%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,0.05%,1.12%,1.69%,2.40%,2.74%,3.63%
DIIs +,4.60%,6.29%,6.36%,5.50%,6.63%,8.13%
Public +,15.05%,17.59%,16.95%,17.09%,15.61%,13.23%
No. of Shareholders,"23,610","73,327","1,39,601","1,42,596","1,48,764","1,24,650"
