,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,74.29%,68.18%,61.75%,61.75%,61.75%,61.75%,61.75%,61.75%
FIIs +,4.02%,5.62%,4.67%,5.80%,2.97%,3.31%,3.43%,4.33%,4.20%
DIIs +,10.00%,9.35%,12.63%,13.05%,10.64%,11.08%,10.61%,9.94%,8.93%
Public +,10.98%,10.74%,14.52%,19.39%,24.64%,23.86%,24.21%,23.98%,25.13%
No. of Shareholders,"1,23,551","1,72,448","2,75,919","3,17,827","4,70,011","5,49,670","5,28,298","13,19,446","16,09,626"
