,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,44.08%,44.08%,44.08%,44.08%,44.08%,44.08%,44.08%
FIIs +,7.30%,7.00%,6.49%,7.11%,8.10%,8.33%,9.35%
DIIs +,8.12%,8.40%,8.41%,10.35%,9.82%,9.65%,9.16%
Public +,40.50%,40.52%,41.03%,38.46%,38.02%,37.93%,37.41%
No. of Shareholders,"1,00,927","87,486","83,296","80,737","84,298","82,004","81,219"
