,Dec 2024,Mar 2025
Promoters +,64.31%,64.31%
FIIs +,1.40%,0.70%
DIIs +,2.70%,2.46%
Public +,31.58%,32.53%
No. of Shareholders,"7,67,963","8,51,028"
