,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,47,79,60,53,77,64,58
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,47,79,60,53,77,64,58
Working Capital Days,50,123,122,63,192,121,183
ROCE %,,-7%,-8%,-17%,-11%,-2%,3%
