,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,813,813,813,813,813
Reserves,"14,499","16,044","19,242","9,853","15,484"
Borrowings +,"1,354","1,178","1,189",833,850
Other Liabilities +,"10,065","10,324","13,329","14,850","12,951"
Total Liabilities,"26,731","28,358","34,573","26,349","30,097"
Fixed Assets +,"7,288","6,671","6,150","7,614","7,105"
CWIP,818,529,"1,337",653,"4,718"
Investments,0,0,0,0,0
Other Assets +,"18,625","21,158","27,086","18,082","18,274"
Total Assets,"26,731","28,358","34,573","26,349","30,097"
