,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,148,155,134,-73,554,215,546,-283,310,511,536
Cash from Investing Activity +,-52,-11,-104,21,-360,-358,-470,418,-204,-146,-397
Cash from Financing Activity +,-74,-179,-28,42,-56,47,-79,-135,-116,-193,-130
Net Cash Flow,23,-35,3,-10,137,-96,-3,0,-10,173,9
