,Mar 2022,Mar 2023,Mar 2024,Mar 2025
FIIs +,4.42%,71.83%,60.41%,55.39%
DIIs +,1.07%,3.19%,6.85%,14.02%
Public +,94.51%,24.98%,32.75%,30.60%
No. of Shareholders,"12,59,775","11,20,566","12,31,219","9,67,955"
