,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,10,11,13,18,15,29,20,100,93,63,82,58
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,10,11,13,18,15,29,20,100,93,63,82,58
Working Capital Days,-85,-101,-42,-190,-41,-24,-5,27,52,39,70,72
ROCE %,12%,15%,14%,18%,23%,21%,23%,19%,25%,11%,22%,29%
