,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,,,320,629,264,"1,013","1,322","1,209"
Cash from Investing Activity +,,,34,-217,64,-384,-137,-177
Cash from Financing Activity +,,,-343,-208,-544,-638,"-1,148",-840
Net Cash Flow,,,11,204,-216,-8,37,193
