,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Debtor Days,0,0,0,0,0,0
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,0,0,0,0,0,0
Working Capital Days,78,63,35,42,43,39
ROCE %,,5%,9%,132%,144%,73%
