,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,62,62,63,63,63,63,92,92,92,93,95,99
Reserves,"5,787","5,431","6,184","6,202","6,968","7,269","13,723","14,442","15,050","16,184","15,962","19,902"
Borrowings +,"1,438","1,324","1,354",787,"1,068","1,141","1,586","1,634","1,412","1,600","3,477","2,393"
Other Liabilities +,"2,625","2,641","2,294","2,499","2,362","2,408","3,072","4,050","4,521","4,886","8,345","9,584"
Total Liabilities,"9,911","9,458","9,895","9,551","10,461","10,881","18,473","20,218","21,075","22,762","27,879","31,978"
Fixed Assets +,"5,181","4,922","4,662","4,573","4,798","4,913","11,656","12,023","12,599","13,070","19,358","21,488"
CWIP,60,47,39,63,135,424,95,113,247,295,190,207
Investments,611,622,"1,366","1,451","1,161","1,188","1,323",806,797,"1,433",871,969
Other Assets +,"4,060","3,867","3,828","3,465","4,366","4,355","5,399","7,276","7,431","7,965","7,461","9,314"
Total Assets,"9,911","9,458","9,895","9,551","10,461","10,881","18,473","20,218","21,075","22,762","27,879","31,978"
