,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,27,27,27,27,27,27,27,27,27,27,27,27
Reserves,"2,028","2,489","3,626","5,318","7,003","8,891","9,954","11,411","12,581","14,963","18,018","21,269"
Borrowings +,84,58,23,112,151,187,249,219,108,288,419,458
Other Liabilities +,"3,197","3,829","1,263","1,552","2,341","2,281","2,220","2,901","3,424","3,919","4,650","5,420"
Total Liabilities,"5,337","6,403","4,939","7,009","9,522","11,387","12,450","14,559","16,140","19,198","23,115","27,174"
Fixed Assets +,"1,656","2,309",790,873,"1,502","1,875","2,378","2,433","2,424","2,690","2,914","3,855"
CWIP,464,419,94,374,333,450,312,314,505,472,555,110
Investments,825,"1,078","3,388","4,987","5,581","4,923","5,749","3,902","7,721","12,321","13,527","14,791"
Other Assets +,"2,391","2,597",667,775,"2,106","4,140","4,011","7,909","5,490","3,715","6,119","8,419"
Total Assets,"5,337","6,403","4,939","7,009","9,522","11,387","12,450","14,559","16,140","19,198","23,115","27,174"
