,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,26,22,38,49,75
Inventory Days,120,130,114,127,94
Days Payable,70,58,46,71,50
Cash Conversion Cycle,77,94,106,105,119
Working Capital Days,72,78,72,77,116
ROCE %,,12%,24%,31%,21%
